Review,Date,Rate,cleaned_text
They were fantastic people the price was great and all the people I spoke to was excellent did everything they said they would and made it a breeze will tell everyone about them the best ever 😁,29 avril 2024,5,fantastic people price great people spoke excellent everything said would made breeze tell everyone best ever
"The most awesome & efficient service EVER!! Leilani, my rep, coordinated everything in record time!! She was so helpful and courteous. Something we don't always see in today's customer service. The towing company was equally fantastic!! Start to finish, 24 hours. I'll use this service every time!!",17 avril 2024,5,awesome efficient service ever leilani rep coordinated everything record time helpful courteous something always see today customer service towing company equally fantastic start finish 24 hour use service every time
"Dealing with Christian was great. He got me the best offer for my wrecked truck. It was quick and easy. He was in constant contact via text, email, and phone calls.  I would definitely use this service again.Be careful of the salvage company that picks up the vehicle.They arrived and said they were paying me 80 dollars less than what Christian and I had  agreed on. After a long and heated discussion they paid me the agreed on price.",27 avril 2024,5,dealing christian great got best offer wrecked truck quick easy constant contact via text email phone call would definitely use service careful salvage company pick vehicle arrived said paying 80 dollar le christian agreed long heated discussion paid agreed price
Everything was good except I wasn't told initially that I needed to get title notarized. Also took a long time to get it picked up from point I agreed to sell it.,17 avril 2024,5,everything good except told initially needed get title notarized also took long time get picked point agreed sell
Very streamlined and efficient process. Christian at CarBrain stayed in contact and guided me through everything I needed to do. Excellent job.Everything went smoothly and i received payment at time of pickup. Thanks!,25 avril 2024,5,streamlined efficient process christian carbrain stayed contact guided everything needed excellent job everything went smoothly received payment time pickup thanks
"With required paperwork, the process is easy, Carbrain service/personnel are professional and provide quick service, the vehicle was picked up and check provided the same day I called, I would recommend there services to anyone. This the 2nd vehicle I have sold to Carbrain.",24 avril 2024,5,required paperwork process easy carbrain service personnel professional provide quick service vehicle picked check provided day called would recommend service anyone 2nd vehicle sold carbrain
I live in Elwood IL just about a hour south of Chicago. I had a great experience sale my car. The tow truck driver was very nice and gave me the check right away. I would recommend company as far as my experience with them,25 avril 2024,5,live elwood il hour south chicago great experience sale car tow truck driver nice gave check right away would recommend company far experience
It was a great experience dealing with Carbrain. I thought it would be a hassle to sell my car and they made it super easy. Although it was sad getting rid of a car that I've had for 28 years they made it easy. I would recommend them to anyone trying to sell their car. It was amazing.,25 avril 2024,5,great experience dealing carbrain thought would hassle sell car made super easy although sad getting rid car 28 year made easy would recommend anyone trying sell car amazing
"I had a great experience with this company! They were fast and reliable, my car was picked up early the next morning and I got paid on the spot. The woman on the phone was very nice and the tow truck driver was on time and very nice. I will definitely recommend them in the future!",23 avril 2024,5,great experience company fast reliable car picked early next morning got paid spot woman phone nice tow truck driver time nice definitely recommend future
"The experience was smooth,the process was very professional. Everything is prearranged so there aren’t any surprises. The time they pick up to the the amount you’re going to receive for your vehicle. She showed up with check in hand. I would definitely recommend this company. A well trusted company. I would definitely use them again.",12 avril 2024,5,experience smooth process professional everything prearranged surprise time pick amount going receive vehicle showed check hand would definitely recommend company well trusted company would definitely use
Great experience and super easy! We connected with a representative and the next day we met the tow truck and received a check for our car! So easy!,15 avril 2024,5,great experience super easy connected representative next day met tow truck received check car easy
"It was easy to sell our junk car to CarBrain. Their associate, Josue, was highly responsive throughout a wave of inconveniences and setbacks to ensure that no matter what, I had the information I needed and got folks out to pick up the vehicle. It was a stressful time for me, but Josue and CarBrain did their job well and paid up front for the vehicle.",18 avril 2024,5,easy sell junk car carbrain associate josue highly responsive throughout wave inconvenience setback ensure matter information needed got folk pick vehicle stressful time josue carbrain job well paid front vehicle
"EDVIN / CARBRAIN WAS WELL ORGANIZED AND DID AN EXCELLENT JOB IN MAKING MY VEHICLE TRANSACTION HAPPEN.T-METALS WAS A COUPLE HOURS LATE IN PICKING UP MY MINIVAN, BUT EVERYTHING ELSE WAS GREAT.",17 avril 2024,5,edvin carbrain well organized excellent job making vehicle transaction happen metal couple hour late picking minivan everything else great
I was very impressed with how fast and easy the process was. Jesus Mendez made sure to stay on top of things and made it so simple and easy. I would highly recommend them to anyone trying to sell a vehicle.,24 avril 2024,5,impressed fast easy process jesus mendez made sure stay top thing made simple easy would highly recommend anyone trying sell vehicle
process was super easy great offer within one day car was picked up  the driver was super nice! Also thanking Mario for making sure my car was picked up and kept me informed along the way. Great Company will recommend !!!!,18 avril 2024,5,process super easy great offer within one day car picked driver super nice also thanking mario making sure car picked kept informed along way great company recommend
"Super easy and smooth!  Very thorough and I did not feel like it was a ""shady"" deal. They were professional and attentive.  The tow driver was exceptional....punctual and no hassle! Great experience!",19 avril 2024,5,super easy smooth thorough feel like shady deal professional attentive tow driver exceptional punctual hassle great experience
"I received the best offer for my car from at least 4 other places. Christian from CarBrain was professional, kind and efficient in dealing with the sale and transfer of the vehicle. I would definitely use them again.",18 avril 2024,5,received best offer car least 4 place christian carbrain professional kind efficient dealing sale transfer vehicle would definitely use
How are you going to say y'all buy any car when i’m here trying to sell mine for cheap and on the website I see WORSE cars that supposedly YOU gave 5k for. But My car doesn’t meet standards and your 600$ that you don’t have or something.,25 avril 2024,1,going say buy car trying sell mine cheap website see worse car supposedly gave 5k car meet standard 600 something
It was actually an experience dealing with the company and selling my car to it twice. I will also read it five stars.,23 avril 2024,5,actually experience dealing company selling car twice also read five star
"Josue from Carbrain does a great job on get money for your car, right away . They do as the say and get you your money quick. They are very polite also really care about your time, & needs. They set up an appointment so thwy can get the car and you get paid.Thank you , Ramon",22 avril 2024,5,josue carbrain great job get money car right away say get money quick polite also really care time need set appointment thwy get car get paid thank ramon
Was offered a bit more than other companies and I priced out 5+ companies.  Josue was responsive and good to deal with. Would be 5 stars but the communication from the 3rd party towing service lacked a little. I wasn't expecting it to happen until at least the next day but they called me just a few hours after I accepted the deal for selling my truck and said they were 10 minutes away. Had to rush home and get what I needed cleaned out of it.  Overall not a bad problem to have as it was a good thing to get rid of it.,24 avril 2024,4,offered bit company priced 5 company josue responsive good deal would 5 star communication 3rd party towing service lacked little expecting happen least next day called hour accepted deal selling truck said 10 minute away rush home get needed cleaned overall bad problem good thing get rid
This company got back to me right away about my car and they was the one that gave me the most money for it . I recommend this company totally to buy you junk car. Talk to Christian he is awesome and will take great care of you. Thank you car brain 🧠,22 avril 2024,5,company got back right away car one gave money recommend company totally buy junk car talk christian awesome take great care thank car brain
I had an old junker that I was considering restoring but changed my mind and decided to scrap it. I tried the local scrap yards but wasn't offered more than $300. Then I tried car brain and they offered me $400! And their associate Josue was with me from start to finish giving me updates all the way up until there tow company was able to come pick up the car. In my opinion he went above and beyond his job description and was super informative and helpful. I would recommend this company to anyone who has an old junker they want to get rid of!,08 avril 2024,5,old junker considering restoring changed mind decided scrap tried local scrap yard offered 300 tried car brain offered 400 associate josue start finish giving update way tow company able come pick car opinion went beyond job description super informative helpful would recommend company anyone old junker want get rid
Smooth no hassle experience.Found them online Saturday night and they picked up the car and gave me a check on Tuesday. Wish I had known about them sooner. Christian from CarBrain kept me in the loop every step of the way. Can't ask for anything more!,16 avril 2024,5,smooth hassle experience found online saturday night picked car gave check tuesday wish known sooner christian carbrain kept loop every step way ask anything
"Very quick and simple process. Did questionnaire online. Provided information they asked for, met tow truck driver(he was on time and professional), gave him the title, he gave me the check.",05 avril 2024,5,quick simple process questionnaire online provided information asked met tow truck driver time professional gave title gave check
The Customer Service was Magnificent.  Everything was explained  which made things go very smooth.,21 avril 2024,5,customer service magnificent everything explained made thing go smooth
"I needed to get rid of a non drivable vehicle, and didn’t want to pay for a tow. My experience was on point from start to finish. I typed in my car info and received the quote. I received a text moments later to confirm and finalize the sale. Next I was put in touch directly to schedule the pick up time. The pickup and payment were complete for me in 24 hours. I recommend CarBrain 100%",11 avril 2024,5,needed get rid non drivable vehicle want pay tow experience point start finish typed car info received quote received text moment later confirm finalize sale next put touch directly schedule pick time pickup payment complete 24 hour recommend carbrain 100
"I was leary about doing this, but it was painless, quick and paid cash on the spot. Great customer service with Josue and the tow company, Central Avenue Auto.  Everyone was professional and eager to help me get rid of a car that wouldn't run anymore.  Thank you!!  I'd add a picture of the tow truck and my car, but don't see that option.",10 avril 2024,5,leary painless quick paid cash spot great customer service josue tow company central avenue auto everyone professional eager help get rid car run anymore thank add picture tow truck car see option
