Review,Date,Rate
They were fantastic people the price was great and all the people I spoke to was excellent did everything they said they would and made it a breeze will tell everyone about them the best ever 😁,29 avril 2024,5
"The most awesome & efficient service EVER!! Leilani, my rep, coordinated everything in record time!! She was so helpful and courteous. Something we don't always see in today's customer service. The towing company was equally fantastic!! Start to finish, 24 hours. I'll use this service every time!!",17 avril 2024,5
"Dealing with Christian was great. He got me the best offer for my wrecked truck. It was quick and easy. He was in constant contact via text, email, and phone calls.  I would definitely use this service again.Be careful of the salvage company that picks up the vehicle.They arrived and said they were paying me 80 dollars less than what Christian and I had  agreed on. After a long and heated discussion they paid me the agreed on price.",27 avril 2024,5
Everything was good except I wasn't told initially that I needed to get title notarized. Also took a long time to get it picked up from point I agreed to sell it.,17 avril 2024,5
Very streamlined and efficient process. Christian at CarBrain stayed in contact and guided me through everything I needed to do. Excellent job.Everything went smoothly and i received payment at time of pickup. Thanks!,25 avril 2024,5
"With required paperwork, the process is easy, Carbrain service/personnel are professional and provide quick service, the vehicle was picked up and check provided the same day I called, I would recommend there services to anyone. This the 2nd vehicle I have sold to Carbrain.",24 avril 2024,5
I live in Elwood IL just about a hour south of Chicago. I had a great experience sale my car. The tow truck driver was very nice and gave me the check right away. I would recommend company as far as my experience with them,25 avril 2024,5
It was a great experience dealing with Carbrain. I thought it would be a hassle to sell my car and they made it super easy. Although it was sad getting rid of a car that I've had for 28 years they made it easy. I would recommend them to anyone trying to sell their car. It was amazing.,25 avril 2024,5
"I had a great experience with this company! They were fast and reliable, my car was picked up early the next morning and I got paid on the spot. The woman on the phone was very nice and the tow truck driver was on time and very nice. I will definitely recommend them in the future!",23 avril 2024,5
"The experience was smooth,the process was very professional. Everything is prearranged so there aren’t any surprises. The time they pick up to the the amount you’re going to receive for your vehicle. She showed up with check in hand. I would definitely recommend this company. A well trusted company. I would definitely use them again.",12 avril 2024,5
Great experience and super easy! We connected with a representative and the next day we met the tow truck and received a check for our car! So easy!,15 avril 2024,5
"It was easy to sell our junk car to CarBrain. Their associate, Josue, was highly responsive throughout a wave of inconveniences and setbacks to ensure that no matter what, I had the information I needed and got folks out to pick up the vehicle. It was a stressful time for me, but Josue and CarBrain did their job well and paid up front for the vehicle.",18 avril 2024,5
"EDVIN / CARBRAIN WAS WELL ORGANIZED AND DID AN EXCELLENT JOB IN MAKING MY VEHICLE TRANSACTION HAPPEN.T-METALS WAS A COUPLE HOURS LATE IN PICKING UP MY MINIVAN, BUT EVERYTHING ELSE WAS GREAT.",17 avril 2024,5
I was very impressed with how fast and easy the process was. Jesus Mendez made sure to stay on top of things and made it so simple and easy. I would highly recommend them to anyone trying to sell a vehicle.,24 avril 2024,5
process was super easy great offer within one day car was picked up  the driver was super nice! Also thanking Mario for making sure my car was picked up and kept me informed along the way. Great Company will recommend !!!!,18 avril 2024,5
"Super easy and smooth!  Very thorough and I did not feel like it was a ""shady"" deal. They were professional and attentive.  The tow driver was exceptional....punctual and no hassle! Great experience!",19 avril 2024,5
